brand,color,current_price,namex,original_price,stock_status,url
Nokia,Blue,1818,"Nokia C1 2nd Edition 1GB Ram, 16GB - Blue",2200,In stock,https://dream2000.com/en/nokia-c1-2nd-edition-1gb-ram-16gb-blue.html
Nokia,Purple,1818,"Nokia C1 2nd Edition 1GB Ram, 16GB - Purple",2200,In stock,https://dream2000.com/en/nokia-c1-2nd-edition-1gb-ram-16gb-purple.html
Nokia,Grey,1275,Nokia 130 Dual Sim - Grey,1500,In stock,https://dream2000.com/en/nokia-130-dual-sim-grey.html
Nokia,Black,1275,Nokia 130 Dual Sim  Black,1500,In stock,https://dream2000.com/en/nokia-130-dual-sim-black.html
Samsung,Black,6464,"Samsung Galaxy A05S 6GB RAM, 128GB - Black",7600,In stock,https://dream2000.com/en/samsung-galaxy-a05s-6gb-ra-128gb-black.html
Samsung,Black,5880,"Samsung Galaxy A05S 4GB RAM, 128GB - Black",6900,In stock,https://dream2000.com/en/samsung-galaxy-a05s-4gb-ra-128gb-black.html
Xiaomi,Black,7999,"Xiaomi POCO C65 8GB Ram, 256GB - Black",9400,In stock,https://dream2000.com/en/xiaomi-poco-c65-8gb-ram-256gb-black.html
Samsung,Green,5888,"Samsung Galaxy A05 4GB RAM, 128GB - Green",6900,In stock,https://dream2000.com/en/samsung-galaxy-a05-4gb-ram-128gb-green.html
Samsung,Green,6666,"Samsung Galaxy A05 6GB RAM, 128GB - Green",7800,In stock,https://dream2000.com/en/samsung-galaxy-a05-6gb-ram-128gb-green.html
Samsung,Black,6666,"Samsung Galaxy A05 6GB RAM, 128GB - Black",7800,In stock,https://dream2000.com/en/samsung-galaxy-a05-6gb-ram-128gb-blac.html
Samsung,Black,5888,"Samsung Galaxy A05 4GB RAM, 128GB - Black",6900,In stock,https://dream2000.com/en/samsung-galaxy-a05-4gb-ram-128gb-black.html
Samsung,Black,5190,"Samsung Galaxy A05 4GB RAM, 64GB - Black",6100,In stock,https://dream2000.com/en/samsung-galaxy-a05-4gb-ra-64gb-black.html
Samsung,Silver,5888,"Samsung Galaxy A05 4GB RAM, 128GB - Silver",6900,In stock,https://dream2000.com/en/samsung-galaxy-a05-4gb-ram-128gb-silve.html
Samsung,Blue Black,11777,"Samsung Galaxy A25 5G 8GB RAM, 256GB - Blue Black",13800,In stock,https://dream2000.com/en/samsung-galaxy-a25-5g-8gb-ram-256gb-blue-black.html
Samsung,Silver,6666,"Samsung Galaxy A05 6GB RAM, 128GB - Silver",7800,In stock,https://dream2000.com/en/samsung-galaxy-a05-6gb-ram-128gb-silver.html
Samsung,Blue Black,10999,"Samsung Galaxy A25 5G 6GB RAM, 128GB - Blue Black",12900,In stock,https://dream2000.com/en/samsung-galaxy-a25-5g-6gb-ram-128gb-blue-black.html
Xiaomi,Blue,5999,Mobile Xiaomi Redmi 13C - 6GB RAM - 128GB - Blue,7100,In stock,https://dream2000.com/en/mobile-xiaomi-redmi-13c-6gb-ram-128gb-blue.html
Samsung,Yellow,6555,"Samsung A15 4GB Ram, 128GB - Yellow",7700,In stock,https://dream2000.com/en/samsung-a15-4gb-ram-128gb-yellow.html
Samsung,Yellow,7199,"Samsung A15 6GB Ram, 128GB - Yellow",8500,In stock,https://dream2000.com/en/samsung-a15-6gb-ram-128gb-yellow.html
Samsung,Yellow,8888,"Samsung A15 8GB Ram, 256GB - Yellow",10400,In stock,https://dream2000.com/en/samsung-a15-8gb-ram-256gb-yellow.html
Samsung,Light Blue,7199,"Mobile Samsung A15 6GB Ram, 128GB - Light Blue",8500,In stock,https://dream2000.com/en/mobile-samsung-a15-6gb-ram-128gb-light-blue.html
Samsung,Light Blue,8888,"Mobile Samsung A15 8GB Ram, 256GB - Light Blue",10400,In stock,https://dream2000.com/en/mobile-samsung-a15-8gb-ram-256gb-light-blue.html
Samsung,Blue Black,6555,"Mobile Samsung A15 4GB Ram, 128GB - Blue Black",7700,In stock,https://dream2000.com/en/mobile-samsung-a15-4gb-ram-128gb-blue-black.html
Xiaomi,Blue,5499,Xiaomi Redmi 13C - 4GB RAM - 128GB - Blue,6500,In stock,https://dream2000.com/en/xiaomi-redmi-13c-4gb-ram-128gb-blue.html
Xiaomi,White,6799,Mobile Xiaomi Redmi 13C - 8GB RAM - 256GB - White,8000,In stock,https://dream2000.com/en/mobile-xiaomi-redmi-13c-8gb-ram-256gb-white.html
Xiaomi,Green,6799,Xiaomi Redmi 13C - 8GB RAM - 256GB - Green,8000,In stock,https://dream2000.com/en/xiaomi-redmi-13c-8gb-ram-256gb-green.html
Xiaomi,Blue,6799,Mobile Xiaomi Redmi 13C - 8GB RAM - 256GB - Navy Blue,8000,In stock,https://dream2000.com/en/mobile-xiaomi-redmi-13c-8gb-ram-256gb-navy-blue.html
Honor,Silver,22999,"Honor 90 5G 12GB Ram, 512GB - Diamond Silver",27000,In stock,https://dream2000.com/en/honor-90-5g-12gb-ram-512gb-diamond-silver.html
Honor,Green,22999,"Honor 90 5G 12GB Ram, 512GB - Emerald Green",27000,In stock,https://dream2000.com/en/honor-90-5g-12gb-ram-512gb-emerald-green.html
Honor,Black,11444,"Honor 90 Lite 5G 8GB RAM, 256GB - Midnight Black",13400,In stock,https://dream2000.com/en/honor-90-lite-8gb-ram-256gb-midnight-black.html
Honor,Silver,11444,"Honor 90 Lite 5G 8GB RAM, 256GB - Titanium Silver",13400,In stock,https://dream2000.com/en/honor-90-lite-8gb-ram-256gb-titanium-silver.html
Honor,Cyan,11444,"Honor 90 Lite 5G 8GB RAM, 256GB - Cyan Lake",13400,In stock,https://dream2000.com/en/honor-90-lite-8gb-ram-256gb-cyan-lake.html
Huawei,Silver,13990,"Huawei Nova Y91 8GB Ram, 256GB - Moonlight Silver + Free Buds 5i",16400,In stock,https://dream2000.com/en/huawei-nova-y91-8gb-ram-256gb-moonlight-silver-free-buds-5i.html
Honor,Black,22999,"Honor 90 5G 12GB Ram, 512GB - Midnight Black",27000,In stock,https://dream2000.com/en/honor-90-5g-12gb-ram-512gb-midnight-black.html
Realme,Black,6999,"Realme C53 8GB Ram, 256GB - Mighty Black",8200,In stock,https://dream2000.com/en/realme-c53-8gb-ram-256gb-mighty-black.html
